"product.productid","product.total_amount","product.total_quantity","product.total_customer"
"64555","75.0","1","1"
"64556","265.0","3","3"
"64571","32.3300018311","1","1"
"64639","45.0","1","1"
"64645","69.9899978638","1","1"
"64712","34.9900016785","1","1"
"64769","84.9899978638","1","1"
"64772","74.9899978638","1","1"
"64779","104.980003357","2","2"
"64782","159.979995728","2","2"
"64786","128.309997559","2","2"
"64802","290.470001221","4","4"
"64830","82.4899978638","1","1"
"64986","48.75","1","1"
"65005","196.240005493","4","4"
"65127","195.0","1","1"
"65137","301.75","4","4"
"65139","481.75","11","11"
"65192","84.9899978638","1","1"
"65204","28.7999992371","1","1"
"65319","81.4000015259","2","2"
"65336","89.0999984741","1","1"
"65338","74.25","1","1"
"65343","131.0","1","1"
"65344","71.25","1","1"
"65378","75.0","1","1"
"65398","61.2599983215","1","1"
"65467","783.900024414","10","9"
"65527","75.0","1","1"
"65701","355.5","2","1"
"65715","4813.93017578","59","51"
"65969","22.0","1","1"
"66059","49.9900016785","1","1"
"66225","119.619995117","2","2"
"66226","75.0","1","1"
"66228","112.020004272","2","2"
"66229","758.0","1","1"
"66266","766.0","1","1"
"66341","90.0","1","1"
"66351","2834.73999023","12","12"
"66559","63.0800018311","1","1"
"66660","80.0","1","1"
"66688","396.460021973","7","6"
"66792","299.0","1","1"
"66822","28.0","1","1"
"67505","59.9000015259","1","1"
"67600","39.9000015259","1","1"
"67634","142.5","2","2"
"67654","500.0","6","6"
"67832","232.5","2","2"
"67888","1209.0","3","3"
"67892","97.6999969482","1","1"
"67893","165.0","2","2"
"67999","169.0","1","1"
"68060","134.979995728","2","2"
"68140","89.0","1","1"
"68156","163.989990234","2","2"
"68175","99.0","1","1"
"68258","133.5","2","2"
"68322","59.0","1","1"
"68388","115.0","1","1"
"68448","55.0","1","1"
"68583","95.0","1","1"
"68589","82.5","1","1"
"68673","21.0","1","1"
"68853","79.0","1","1"
"69071","56.0","1","1"
"69392","47.3400001526","1","1"
"69418","55.0","1","1"
"69810","48.75","1","1"
"70066","73.5299987793","1","1"
"70119","55.0","1","1"
"70184","720.0","2","2"
"70396","81.75","1","1"
"70405","1337.25","3","3"
"70409","225.75","2","2"
"70642","99.8000030518","2","2"
"70828","112.5","1","1"
"70897","60.0","1","1"
"70952","324.179992676","1","1"
"70996","150.0","2","1"
"71033","112.419998169","1","1"
"71034","192.320007324","2","2"
"71039","149.919998169","1","1"
"71088","117.13999939","2","2"
"71314","19.8999996185","1","1"
"71328","28.0","1","1"
"71358","77.7799987793","1","1"
"71502","99.9000015259","1","1"
"71797","149.0","1","1"
"71802","149.0","1","1"
"71843","48.0","1","1"
"71865","89.0","1","1"
"72179","37.5999984741","1","1"
"72316","89.9899978638","1","1"
"72321","79.9899978638","1","1"
"72348","269.0","1","1"
"72373","67.4899978638","1","1"
"72396","79.9899978638","1","1"
"72405","45.0","1","1"
"72621","318.75","3","3"
"72707","119.980003357","2","2"
"72805","66.75","2","1"
"72911","222.75","3","3"
"73339","60.0","1","1"
"73340","2504.23999023","17","16"
"73555","69.0","1","1"
"73618","74.25","1","1"
"73622","369.350006104","5","5"
"73630","108.0","3","2"
"73676","59.9799995422","2","1"
"73700","44.0900001526","1","1"
"73707","90.0","1","1"
"73814","44.25","1","1"
"73826","420.5","5","4"
"73827","229.0","2","1"
"73872","126.5","1","1"
"73886","110.0","1","1"
"73887","75.0","1","1"
"74079","29.8999996185","1","1"
"74091","49.7999992371","2","2"
"74108","29.0","1","1"
"74136","595.0","1","1"
"74298","148.880004883","3","3"
"74299","74.9899978638","1","1"
