"customer.customerid","customer.dominant_gender","customer.dominant_size","customer.last_purchase_date"
"10967573","Femme","37","2015-11-01 18:24:04.0"
"10967623","Femme","38","2015-11-03 10:00:44.0"
"10968268","Femme","39","2015-11-01 14:13:04.0"
"10968652","Femme","39","2015-11-01 20:06:00.0"
"10993635","Homme","43","2015-11-01 22:04:19.0"
"10993664","Femme","36","2015-11-01 21:51:07.0"
"11008751","Femme","38 - 39 (M)","2015-11-01 20:59:14.0"
"11009292","Femme","38","2015-11-01 14:15:13.0"
"11014931","Femme","38","2015-11-01 15:26:02.0"
"11015450","Femme","40","2015-11-01 10:35:19.0"
"11016216","Homme","44","2015-11-01 18:52:06.0"
"11016751","Femme","41","2015-11-01 07:48:06.0"
"11018340","Homme","41","2015-11-01 22:44:19.0"
"11019549","Femme","37","2015-11-01 23:49:00.0"
"11025564","Femme","41","2015-11-01 10:32:05.0"
"11026833","Femme","37","2015-11-01 22:32:03.0"
"11028511","Femme","37","2015-11-01 17:48:13.0"
"11030462","Femme","37","2015-11-01 10:32:00.0"
"11030582","Femme","38","2015-11-01 11:40:09.0"
"11031695","Femme","38","2015-11-01 19:00:16.0"
"11033065","Femme","T.U","2015-11-01 19:35:03.0"
"11076084","Femme","37","2015-11-01 20:58:09.0"
"11076899","Femme","37","2015-11-01 18:19:15.0"
"11084436","Femme","39","2015-11-01 18:22:01.0"
"11084522","Enfant","20","2015-11-01 16:06:12.0"
"11085898","Homme","43","2015-11-01 12:19:10.0"
"11086471","Homme","44","2015-11-01 17:22:08.0"
"11092136","Homme","41 1/3","2015-11-01 20:53:04.0"
"11092865","Sacs","T.U","2015-11-01 19:47:04.0"
"11093865","Femme","41","2015-11-01 15:33:14.0"
"11095801","Femme","38","2015-11-01 21:43:13.0"
"11097225","Accessoires","38 - 42 (M)","2015-11-01 18:58:16.0"
"11110445","Femme","38","2015-11-01 13:59:19.0"
"11112137","Femme","38","2015-11-01 16:41:10.0"
"11113725","Femme","41","2015-11-01 18:59:02.0"
"11114504","Sacs","T.U","2015-11-01 16:04:06.0"
"11115936","Femme","38","2015-11-01 16:24:02.0"
"11120081","Femme","38","2015-11-01 20:38:12.0"
"11123480","Femme","38","2015-11-01 14:07:01.0"
"11123533","Femme","38","2015-11-01 20:17:16.0"
"11124398","Homme","40","2015-11-01 22:30:08.0"
"11128908","Sacs","T.U","2015-11-01 14:37:10.0"
"11132370","Homme","42","2015-11-01 11:12:15.0"
"11135116","Homme","44","2015-11-01 17:36:06.0"
"11135191","Homme","42","2015-11-01 17:50:07.0"
"11135416","Femme","36","2015-11-01 18:27:03.0"
"11136761","Homme","45","2015-11-01 20:29:09.0"
"11137433","Femme","38","2015-11-01 20:08:09.0"
"11138102","Enfant","34","2015-11-01 08:29:16.0"
"11143426","Femme","40","2015-11-01 15:51:09.0"
"11145536","Femme","39","2015-11-01 08:28:04.0"
"11146712","Homme","41","2015-11-01 17:12:08.0"
"11147114","Accessoires","40 - 45","2015-11-01 10:55:05.0"
"11147538","Femme","37 1/2","2015-11-01 14:50:12.0"
"11149861","Femme","37","2015-11-01 23:12:01.0"
"11150744","Femme","35","2015-11-01 15:05:16.0"
"11153930","Femme","39","2015-11-01 21:22:05.0"
"11157580","Enfant","35","2015-11-01 20:31:17.0"
"11160709","Femme","40","2015-11-01 18:02:19.0"
"11166806","Femme","37","2015-11-01 08:42:17.0"
"11169318","Femme","36","2015-11-01 11:33:09.0"
"11169465","Homme","43","2015-11-01 18:31:12.0"
"11176715","Sacs","T.U","2015-11-01 18:53:10.0"
"11176887","Femme","39","2015-11-01 18:11:07.0"
"11177021","Femme","38","2015-11-01 13:05:06.0"
"11178517","Accessoires","43 - 46","2015-11-01 14:53:02.0"
"11180077","Enfant","29","2015-11-01 18:06:11.0"
"11181834","Enfant","37","2015-11-01 20:46:12.0"
"11182985","Femme","38","2015-11-01 16:47:11.0"
"11185450","Femme","39","2015-11-01 18:23:02.0"
"11187378","Enfant","32","2015-11-01 20:32:10.0"
"11192845","Homme","44","2015-11-01 20:02:17.0"
"11199969","Femme","37","2015-11-01 14:36:10.0"
"11208353","Femme","38","2015-11-01 15:11:11.0"
"11209104","Femme","40","2015-11-01 11:05:02.0"
"11219922","Femme","39","2015-11-01 18:17:13.0"
"11222338","Femme","39","2015-11-01 19:21:19.0"
"11225196","Femme","39","2015-11-01 11:10:07.0"
"11228002","Homme","41","2015-11-01 09:48:02.0"
